Mike	22:25 3/6/2004	130
Jim	22:25 3/6/2004	113
Tom	22:25 3/6/2004	105
Lana	22:25 3/6/2004	130
TomH	22:25 3/6/2004	125
Mike	22:26 3/6/2004	153
TomH	22:26 3/6/2004	174
Mike	16:4 1/6/2022	110
Jim	16:4 1/6/2022	195
Mike	21:50 1/6/2022	145
Tom	21:51 1/6/2022	153
Mike	22:6 1/6/2022	128
TomH	22:6 1/6/2022	177
Jim	22:6 1/6/2022	113
Tom	22:7 1/6/2022	110
Lana	22:7 1/6/2022	127
Mike	1:57 1/0/2022	166
Jim	1:57 1/0/2022	144
Mike	1:57 1/0/2022	157
Lana	1:57 1/0/2022	161
TomH	1:58 1/0/2022	161
Jim	1:58 1/0/2022	84
Tom	1:58 1/0/2022	164
Mike	1:59 1/0/2022	106
Mike	2:2 1/0/2022	120
Jim	2:2 1/0/2022	163
Tom	2:2 1/0/2022	141
Mike	2:3 1/0/2022	149
Jim	2:3 1/0/2022	131
Lana	2:3 1/0/2022	103
Mike	2:11 1/0/2022	160
Jim	2:11 1/0/2022	143
Jim	2:29 1/0/2022	106
Jim	2:29 1/0/2022	160
Mike	2:31 1/0/2022	127
Tom	2:41 1/0/2022	105
Lana	2:41 1/0/2022	156
Jim	2:41 1/0/2022	156
Lana	2:41 1/0/2022	135
Jim	13:25 1/0/2022	137
Tom	13:25 1/0/2022	107
Lana	13:25 1/0/2022	222
TomH	13:25 1/0/2022	117
TomH	13:26 1/0/2022	136
Lana	13:26 1/0/2022	117
Mike	13:26 1/0/2022	159
Jim	13:27 1/0/2022	169
Mike	13:28 1/0/2022	118
Jim	13:28 1/0/2022	145
Tom	13:28 1/0/2022	118
Mike	14:24 1/0/2022	158
TomH	14:25 1/0/2022	125
Mike	14:29 1/0/2022	133
Jim	14:29 1/0/2022	140
Tom	14:29 1/0/2022	144
TomH	14:29 1/0/2022	77
Lana	14:29 1/0/2022	171
Tom	14:29 1/0/2022	95
Jim	14:29 1/0/2022	126
Mike	14:30 1/0/2022	89
Jim	14:30 1/0/2022	166
Tom	14:30 1/0/2022	123
Mike	14:32 1/0/2022	177
Jim	14:32 1/0/2022	139
Lana	14:32 1/0/2022	161
Mike	14:33 1/0/2022	152
Jim	14:33 1/0/2022	137
Tom	14:33 1/0/2022	130
Tom	14:33 1/0/2022	115
Jim	14:33 1/0/2022	142
Tom	14:34 1/0/2022	151
Lana	14:34 1/0/2022	94
Lana	14:46 1/0/2022	116
karan	14:46 1/0/2022	132
Mike	22:21 1/0/2022	175
karan	22:22 1/0/2022	125
Jack	22:22 1/0/2022	163
Jack	23:44 1/0/2022	135
TomH	23:44 1/0/2022	157
Lana	23:45 1/0/2022	108
Mike	23:45 1/0/2022	147
Jim	23:45 1/0/2022	130
Tom	23:45 1/0/2022	128
Lana	23:45 1/0/2022	112
TomH	23:45 1/0/2022	126
Jim	22:30 1/2/2022	134
Tom	22:30 1/2/2022	142
Jack	22:30 1/2/2022	126
karan	22:30 1/2/2022	131
TomH	22:30 1/2/2022	118
Jack	22:30 1/2/2022	99
Mike	2:36 1/4/2022	145
Jim	2:36 1/4/2022	179
Lana	2:36 1/4/2022	147
karan	2:36 1/4/2022	117
Tom	2:36 1/4/2022	151
karan	2:36 1/4/2022	153
Mike	2:37 1/4/2022	192
Jim	2:37 1/4/2022	119
Lana	2:37 1/4/2022	143
Mike	2:40 1/4/2022	154
Lana	2:40 1/4/2022	127
karan	2:40 1/4/2022	134
Lana	3:13 1/5/2022	134
Mike	3:13 1/5/2022	152
Jim	3:13 1/5/2022	131
TomH	3:13 1/5/2022	115
Jim	3:36 1/5/2022	164
Mike	3:36 1/5/2022	144
Jim	5:7 1/5/2022	75
Tom	5:7 1/5/2022	168
Mike	6:34 1/5/2022	147
Sarthak	6:34 1/5/2022	193
Lana	6:34 1/5/2022	130
Mike	21:3 1/5/2022	116
Jim	21:3 1/5/2022	139
Mike	21:8 1/5/2022	126
Tom	21:8 1/5/2022	169
Mike	21:17 1/5/2022	129
Jim	21:17 1/5/2022	93
Mike	21:21 1/5/2022	121
Jim	21:21 1/5/2022	139
Tom	21:21 1/5/2022	174
Lana	21:21 1/5/2022	148
karan	21:21 1/5/2022	106
Jack	21:21 1/5/2022	139
Mike	21:29 1/5/2022	105
Jim	21:29 1/5/2022	186
Tom	21:29 1/5/2022	125
Lana	21:29 1/5/2022	184
Mike	21:57 1/5/2022	146
Jim	21:57 1/5/2022	98
Tom	21:59 1/5/2022	139
Lana	21:59 1/5/2022	121
Mike	22:2 1/5/2022	162
Jim	22:12 1/5/2022	164
TomH	22:12 1/5/2022	140
d	22:14 1/5/2022	130
Sarthak	22:14 1/5/2022	144
karan	22:14 1/5/2022	123
Jack	22:14 1/5/2022	108
Mike	22:18 1/5/2022	161
Jim	22:18 1/5/2022	144
